position;description;par_code
1;Valor medio della velocita del vento, riferito al periodo di 10 minuti precedente |’ora d’osservazione ed espresso in decimi di m/s.;FF
2;Direzione media di provenienza del vento, riferita al periodo di 10 minuti precedente l’ora d’osservazione ed espressa in gradi sessagesimali, calcolati a partire dal Nord geografico in senso orario;DD
3;Temperatura media dell’aria, in decimi di °C;Tmedia
4;Temperatura minima dell’aria, in decimi di °C;Tmin
5;Temperatura massima dell’aria, in decimi di °C;Tmax
6;Temperatura media del terreno a 10 cm di profondita, riferita all’ora precedente, in decimi di °C;6
7;Temperatura minima del terreno a 10 cm di profondita, in decimi di °C;7
8;Temperatura massima del terreno a 10 cm di profondita, in decimi di °C;8
9;Umidita relativa media dell’aria (capannina), in %;UR media
10;Umidita relativa minima dell’ aria (capannina), in %;UR min
11;Umidita relativa massima dell’aria (capannina), in %;UR max
12;Pressione media livello della stazione, in decimi di mbar;12
13;Pressione media livello del mare, in decimi di mbar;P
14;Pressione minima a livello del mare, in decimi di mbar;Pmin
15;Pressione massima a livello del mare, in decimi di mbar;Pmax
16;Radiazione globale integrale misurata nell’ ora precedente, in cal/cm2;RADSOL
17;Insolazione misurata nell’ora precedente, in minuti;INSOL
18;Precipitazione misurata nell’intervallo di un’ora, in decimi di mm;PREC
19;Bagnatura fogliare misurata nell’ora precedente, in minuti;Bagnatura_f
