position;description;par_code;min;max;unit
1;Precipitazione (mm);PREC;0;989;mm
2;Temperatura media dell’aria (°C);Tmedia;-35;45;°C
3;Umidita relativa media dell’aria (%);UR media;20;100;%
4;Bagnatura fogliare misurata nell’ora precedente (minuti);Bagnatura_f;0;60;minuti
5;Direzione media di provenienza del vento (gradi);DD;0;360;gradi
6;Velocità media del vento (m/s);FF;0;102;m/s
7;Pressione al livello della stazione (hPa);Pstaz;;;hPa
8;Radiazione solare integrale misurata nell’ora precedente (kW*s)/m2;RADSOL;0;4186.8;(kW*s)/m2
9;Insolazione misurata nell’ora precedente (minuti);INSOL;0;60;minuti
